CODE,TITLE
6118,МОСКВА-ПАССАЖИРСКАЯ-КУРСКАЯ           
4980,МОСКВА-КАЛАНЧЕВСКАЯ                   
7408,РЖЕВСКАЯ                              
6425,ПОСТ-АЛЕКСЕЕВСКИЙ                     
4974,МОСКВА-СТАНКОЛИТ                      
7971,САВЕЛОВСКАЯ                           
1728,КАШИРА-ПАССАЖИРСКАЯ                   
7071,ТЕСНА                                 
4091,БЕЛОПЕСОЦКИЙ                          
1313,КАШИРА-ТОВАРНАЯ                       
5136,АКРИ                                  
1687,СТУПИНО                               
6857,СИТЕНКА                               
7694,ЖИЛЕВО                                
7272,ШУГАРЕВО                              
2319,ОСТ. ПУНКТ 85 КМ                      
5922,НЕПЕЦИНО                              
5637,РАТЧИНО                               
5187,ОСЕНКА                                
7296,ШКИНЬ                                 
6031,ЛЕСНЫЕ ДАРЫ                           
8363,ШУБАТОВО                              
6336,МЯКИНИНО                              
8308,ЛЮТИК                                 
4876,ЯГАНОВО                               
3500,РАТМИРОВО                             
2850,СОТНИКОВО                             
3682,КОЛЫЧЕВО                              
1182,ШМАТОВО                               
2257,МИХНЕВО                               
8264,БЛОКПОСТ 328 КМ                       
6962,ОСТ. ПУНКТ 332 КМ                     
9747,МАЛИНО                                
3790,ОСТ. ПУНКТ 341 КМ                     
9604,УСАДЫ-ОКРУЖНЫЕ                        
8665,ОСТ. ПУНКТ 312 КМ                     
2883,ОСТ. ПУНКТ 309 КМ                     
1615,БЛОКПОСТ 320 КМ                       
1506,БАРЫБИНО                              
9276,ОСТ. ПУНКТ 52 КМ                      
7062,ВЕЛЬЯМИНОВО                           
5781,ПРИВАЛОВО                             
6285,БЕЛЫЕ СТОЛБЫ                          
5740,ВОСТРЯКОВО                            
5992,ВЗЛЕТНАЯ                              
5323,ОСТ. ПУНКТ 32 КМ                      
9026,ДОМОДЕДОВО                            
6399,ЛЕНИНСКАЯ                             
5275,ПЛАТФОРМА КАЛИНИНА                    
8400,РАСТОРГУЕВО                           
3982,БУЛАТНИКОВО                           
2937,БИРЮЛЕВО-ПАССАЖИРСКАЯ                 
7751,АВИАЦИОННАЯ                           
7896,КОСМОС                                
4100,АЭРОПОРТ-ДОМОДЕДОВО                   
2481,ЧЕРТАНОВО                             
1329,БИРЮЛЕВО-ТОВАРНАЯ                     
6351,КОЛОМЕНСКОЕ                           
8908,НИЖНИЕ КОТЛЫ                          
9418,ТУЛЬСКАЯ                              
6966,ВЕРХНИЕ КОТЛЫ                         
3760,МОСКВА-ТОВАРНАЯ-ПАВЕЛЕЦКАЯ            
4338,МОСКВА-ПАССАЖИРСКАЯ-ПАВЕЛЕЦКАЯ        
6366,КУСКОВО                               
6418,ЧУХЛИНКА                              
2352,КАРАЧАРОВО                            
3713,СЕРП И МОЛОТ                          
4152,НОВОГИРЕЕВО                           
2128,ПЕРОВО-Ч                              
8419,ПЕРОВО-П1                             
8239,ПЕРОВО-П10                            
3010,ПЕРОВО-Н                              
1801,ПЕРОВО-П9                             
6065,ПЕРОВО                                
7535,ПЛЮЩЕВО                               
9584,ВЕШНЯКИ                               
4287,ВЫХИНО                                
3721,КОСИНО                                
5877,УХТОМСКАЯ                             
8734,ПЕРОВО II                             
2926,ПЕРОВО НБ                             
3038,ПЕРОВО-А                              
1750,ПЕРОВО-П7                             
6715,МОСКВА-ПАССАЖИРСКАЯ-КАЗАНСКАЯ         
1070,НОВАЯ                                 
2435,ФРЕЗЕР                                
1133,ПЕРОВО-К                              
8267,МОСКВА-ТОВАРНАЯ-РЯЗАНСКАЯ             
6381,ЭЛЕКТРОЗАВОДСКАЯ                      
4767,СОРТИРОВОЧНАЯ                         
9321,НИКОЛАЕВКА                            
6478,МОСКВА II-МИТЬКОВО                    
6566,ЛЮБЕРЦЫ I                             
9802,ПАНКИ                                 
3579,ТОМИЛИНО                              
1768,КРАСКОВО                              
7028,МАЛАХОВКА                             
8029,УДЕЛЬНАЯ                              
7185,ЛЮБЕРЦЫ I-ВОСТ                        
8974,ЛЮБЕРЦЫ I-Ч                           
6924,ЛЮБЕРЦЫ I-У                           
4521,ЛЮБЕРЦЫ I-Н1                          
3291,ЛЮБЕРЦЫ II                            
1800,КОРЕНЕВО                              
1287,ЛЮБЕРЦЫ I-Я                           
8704,ЛЮБЕРЦЫ I-Н                           
5137,МАЛЬЧИКИ                              
5909,ЯНИЧКИНО                              
9078,ДЗЕРЖИНСКАЯ                           
4969,ОВРАЖКИ                               
5279,РОДНИКИ                               
2054,ВЯЛКИ                                 
9042,ХРИПАНЬ                               
2202,ОСТ. ПУНКТ 41 КМ                      
4449,ДОНИНО                                
7649,ПЛАТФОРМА 49 КМ                       
4829,ОСТ. ПУНКТ 52 КМ                      
7111,ГРИГОРОВО                             
7749,ГЖЕЛЬ                                 
5427,ИГНАТЬЕВО                             
5128,КУЗЯЕВО                               
6789,ШЕВЛЯГИНО                             
8669,ОСТ. ПУНКТ 73 КМ                      
9152,АНЦИФЕРОВО                            
9360,ПОДОСИНКИ                             
6875,ОСТ. ПУНКТ 55 КМ                      
9333,БЫКОВО                                
9194,ИЛЬИНСКАЯ                             
6162,ОТДЫХ                                 
6572,КРАТОВО                               
7866,ПЛАТФОРМА 42 КМ                       
8436,ФАБРИЧНАЯ                             
2493,РАМЕНСКОЕ                             
8578,ПЛАТФОРМА 47 КМ                       
7910,СОВХОЗ                                
1233,ЗАГОРНОВО                             
9308,БРОННИЦЫ                              
7052,ПЛАТФОРМА 63 КМ                       
5031,БЕЛООЗЕРСКАЯ                          
7612,РАДУГА                                
8197,ФАУСТОВО                              
8259,ЗОЛОТОВО                              
2353,ВИНОГРАДОВО                           
8677,КОНОБЕЕВО                             
6799,ПЛАТФОРМА 88 КМ                       
8242,ТРОФИМОВО                             
7010,ЛОСИНООСТРОВСКАЯ-ЧЕТ                  
1427,ЛОСИНООСТРОВСКАЯ-НЕЧ                  
9764,ЛОСИНООСТРОВСКАЯ                      
9291,ЛОСЬ                                  
9309,ПЕРЛОВСКАЯ                            
1201,ТАЙНИНСКАЯ                            
4842,ЛОСИНООСТРОВСКАЯ-Ч                    
2911,ЛОСИНООСТРОВСКАЯ-Н                    
1456,ЛОСИНООСТРОВСКАЯ МОК                  
4966,МОСКВА-ПАССАЖИРСКАЯ-ЯРОСЛАВСКАЯ       
6788,МОСКВА III                            
6700,МАЛЕНКОВСКАЯ                          
4450,ЯУЗА                                  
5797,СЕВЕРЯНИН                             
1381,МОСКВА-ТОВАРНАЯ-ЯРОСЛАВСКАЯ           
1392,БЕСКУДНИКОВО                          
7074,ЛИАНОЗОВО                             
6707,МОСКВА-БУТЫРСКАЯ                      
9504,ТИМИРЯЗЕВСКАЯ                         
9465,ОКРУЖНАЯ                              
5609,ДЕГУНИНО                              
2341,ДМИТРОВСКАЯ                           
8602,МОСКВА-РИЖСКАЯ                        
1605,МОСКВА-РИЖ                            
4153,ГРАЖДАНСКАЯ                           
1432,КРАСНЫЙ БАЛТИЕЦ                       
4581,ЛЕНИНГРАДСКАЯ                         
4319,ПОДМОСКОВНАЯ                          
2414,ПОКРОВСКО-СТРЕШНЕВО                   
9759,ТУШИНО                                
5635,ТРИКОТАЖНАЯ                           
6685,ВОЛОКОЛАМСКАЯ                         
9220,ПЕНЯГИНО                              
4661,ПАВШИНО                               
3031,КРАСНОГОРСКАЯ                         
8251,ОПАЛИХА                               
2671,АНИКЕЕВКА                             
6753,НАХАБИНО                              
2278,МАЛИНОВКА                             
3351,ПАРКОВАЯ                              
2452,ИСАКОВО                               
2841,ОЗЕРКИ                                
9494,ДЕДОВСК                               
3666,МИИТОВСКАЯ                            
9698,СНЕГИРИ                               
1820,ОСТ. ПУНКТ 50 КМ                      
4776,МАНИХИНО I                            
1035,МАНИХИНО II                           
7887,ОСТ. ПУНКТ 159 КМ                     
4174,ОСТ. ПУНКТ 155 КМ                     
9191,ЖИЛИНО                                
8222,ДЕПО                                  
4018,ПОВАРОВО III                          
3809,ВСПОМОГАТЕЛЬНЫЙ ПОСТ 142 КМ           
4421,ЛУКИНО                                
4442,ОСТ. ПУНКТ 178 КМ                     
6227,ОСТ. ПУНКТ 183 КМ                     
6302,ДЮДЬКОВО                              
6733,ОСТ. ПУНКТ 189 КМ                     
4524,ОСТ. ПУНКТ 191 КМ                     
3294,ЯСТРЕБКИ                              
5923,ОСТ. ПУНКТ 198 КМ                     
9608,ОСТ. ПУНКТ 165 КМ                     
1837,ОСТАНОВОЧНЫЙ ПУНКТ 174 КМ             
3629,НОВОИЕРУСАЛИМСКАЯ                     
9861,ЧЕХОВСКАЯ                             
8804,ИСТРА                                 
6487,ТРОИЦКАЯ                              
1295,ХОЛЩЕВИКИ                             
1698,ОСТ. ПУНКТ 73 КМ                      
1782,ЯДРОШИНО                              
2998,КУРСАКОВСКАЯ                          
2068,РУМЯНЦЕВО                             
1753,НОВОПЕТРОВСКАЯ                        
1803,УСТИНОВКА                             
2743,ОСТ. ПУНКТ 91 КМ                      
9112,ЛЕСОДОЛГОРУКОВО                       
6922,ЧИСМЕНА                               
3708,МАТРЕНИНО                             
4793,ДУБОСЕКОВО                            
3856,ПЛАТФОРМА 133 КМ                      
9387,ВОЛОКОЛАМСК                           
6479,БЛАГОВЕЩЕНСКОЕ                        
8546,БУХОЛОВО                              
6953,ОСТ. ПУНКТ 141 КМ                     
1769,ОСТ. ПУНКТ 149 КМ                     
9227,ШАХОВСКАЯ                             
3947,ШАХОВСКАЯ САИПС                       
4424,МОСКВА-СОРТИРОВОЧНАЯ-КИЕВСКАЯ         
5263,МОСКВА-ВХОД-КИЕВ                      
8313,МОСКВА-ТОВАРНАЯ-КИЕВСКАЯ              
9185,МОСКВА-ПАССАЖИРСКАЯ-КИЕВСКАЯ          
